timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748059857500,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-1,text,false,,863,0,1,1,null,0,0,0
1748059858689,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-2,text,false,,863,0,1,1,null,0,0,0
1748059859888,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-3,text,false,,863,0,1,1,null,0,0,0
1748059861089,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-4,text,false,,863,0,1,1,null,0,0,0
1748059862288,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-5,text,false,,863,0,1,1,null,0,0,0
1748059863489,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-6,text,false,,863,0,1,1,null,0,0,0
1748059864686,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-7,text,false,,863,0,1,1,null,0,0,0
1748059865889,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-8,text,false,,863,0,1,1,null,0,0,0
1748059867086,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-9,text,false,,863,0,1,1,null,0,0,0
1748059868288,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-10,text,false,,863,0,1,1,null,0,0,0
1748059869489,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-11,text,false,,863,0,1,1,null,0,0,0
1748059870685,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-12,text,false,,863,0,1,1,null,0,0,0
1748059871888,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-13,text,false,,863,0,1,1,null,0,0,0
1748059873089,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-14,text,false,,863,0,1,1,null,0,0,0
1748059874289,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-15,text,false,,863,0,1,1,null,0,0,0
1748059875486,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-16,text,false,,863,0,1,1,null,0,0,0
1748059876686,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-17,text,false,,863,0,1,1,null,0,0,0
1748059877887,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-18,text,false,,863,0,1,1,null,0,0,0
1748059879088,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-19,text,false,,863,0,1,1,null,0,0,0
1748059880288,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-20,text,false,,863,0,1,1,null,0,0,0
1748059881488,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-21,text,false,,863,0,1,1,null,0,0,0
1748059882686,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-22,text,false,,863,0,1,1,null,0,0,0
1748059883888,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-23,text,false,,863,0,1,1,null,0,0,0
